NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,state,county
"Mercer County, New Jersey",132004,86024,453,6541,14124,22347,9802,8977,12990,6593,4197,45980,3219,10593,9743,9085,3564,34,021
"Cumberland County, New Jersey",50068,34006,0,2503,6639,7387,4361,3458,5144,3308,1206,16062,923,3678,2946,2458,1776,34,011
"Somerset County, New Jersey",116840,89911,203,5860,17038,26219,10570,8995,12499,6274,2253,26929,1062,7459,6010,5630,1558,34,035
"Ocean County, New Jersey",223599,182764,445,12798,23849,33578,17198,19396,36418,27052,12030,40835,2521,10363,7370,8745,2552,34,029
"Atlantic County, New Jersey",100065,64897,302,3946,9524,15830,7205,7688,12176,5927,2299,35168,1979,8777,6609,7709,2528,34,001
"Middlesex County, New Jersey",283337,187331,624,14551,34693,48232,21396,19349,26056,14517,7913,96006,6618,27006,23306,15963,6580,34,023
"Salem County, New Jersey",24861,17598,72,1605,2729,3659,2134,2129,3185,1507,578,7263,498,1211,1222,1740,813,34,033
"Cape May County, New Jersey",40470,29689,151,1330,3162,6487,3821,3569,5956,4102,1111,10781,463,2545,1880,1618,766,34,009
"Camden County, New Jersey",185477,126421,228,11286,23986,31056,14655,13366,17775,9963,4106,59056,2541,15506,10685,10076,6007,34,007
"Union County, New Jersey",184879,109258,40,8181,19826,28737,11166,11842,14710,9088,5668,75621,3442,16280,17987,17338,5345,34,039
"Hudson County, New Jersey",249028,79888,503,9473,16868,17654,8573,7094,10948,6584,2191,169140,9352,48086,38018,30992,11577,34,017
"Hunterdon County, New Jersey",47227,38620,96,1622,6132,11924,5107,3866,6726,1926,1221,8607,197,1578,2234,1686,968,34,019
"Morris County, New Jersey",179876,136458,310,7956,23834,37603,16598,14275,18830,11697,5355,43418,1243,11092,9571,9096,3073,34,027
"Monmouth County, New Jersey",236447,177977,504,11419,30093,49617,20869,20074,25454,15105,4842,58470,2431,12801,11050,11531,4300,34,025
"Sussex County, New Jersey",54179,46098,260,3377,8579,12622,6316,4690,6228,2923,1103,8081,434,1440,1632,1759,764,34,037
"Essex County, New Jersey",279102,126170,211,7448,24397,33409,14877,13127,17736,10895,4070,152932,5676,34903,35363,30590,12514,34,013
"Gloucester County, New Jersey",104691,85156,404,7365,15084,23246,10186,9148,11057,6605,2061,19535,2179,4159,4086,3231,1275,34,015
"Passaic County, New Jersey",163712,86544,64,6185,13489,21777,10740,9756,12592,8233,3708,77168,2216,15021,18809,17353,5998,34,031
"Bergen County, New Jersey",336856,219807,755,12656,38009,54542,28266,23145,32121,20513,9800,117049,3534,25990,26688,24366,9021,34,003
"Warren County, New Jersey",41262,30513,93,1820,5948,8375,3338,3439,3971,2478,1051,10749,789,2905,1634,2020,1134,34,041
"Burlington County, New Jersey",164819,126351,753,9783,20918,33214,14738,13376,18175,11372,4022,38468,2538,8500,8575,6424,3234,34,005
